"Outcome","Contrast","Feature","N_trials","N_subjects","Joint_singular","PathB_estimate","PathB_p","PathB_p_FDR","ACME_mean","ACME_sd","ACME_CoV","QB_p","QB_p_FDR","Perm_p","Perm_p_FDR","Direct_effect","Prop_mediated"
"Image Accuracy","TICue_vs_SoundOnly","central_so_spindle",3312,28,FALSE,-0.0560497680793161,0.323253411436868,0.470186780271807,-0.000102572095550923,0.000336594932754047,-0.304734520842811,0.77,0.98,0.941058941058941,0.941058941058941,0.0225752398580621,-0.00129552631771318
"Image Accuracy","TICue_vs_SoundOnly","central_delta_spindle",3312,28,FALSE,-0.0597996851122161,0.224625219815374,0.359400351704599,0.000233286809688256,0.000303660159869376,0.768249643906555,0.374,0.98,0.043956043956044,0.234432234432234,0.0228760122033279,0.00606677708406596
"Image Accuracy","TICue_vs_SoundOnly","posterior_delta_spindle",3312,28,FALSE,0.0739557690633174,0.117441840692255,0.313178241846013,0.000186128486311019,0.000265930434440014,0.69991419636854,0.462,0.98,0.127872127872128,0.409190809190809,0.0226023335592134,0.00486038360498974
"Image Accuracy","TICue_vs_SoundOnly","right_temporal_spindle_peak_freq",3312,28,FALSE,-0.0002191384973354,0.995849233123263,0.995849233123263,-2.26462385924857e-06,0.00023655953726863,-0.00957316659220942,0.98,0.98,0.583416583416583,0.777888777888778,0.0225497625030668,0.000170045818541983
"Image Accuracy","TICue_vs_SoundOnly","left_temporal_spindle_peak_freq",3312,28,FALSE,0.100567564691102,0.0180840690785109,0.144672552628087,0.000216568329878649,0.000589930044573222,0.367108493406744,0.71,0.98,0.495504495504495,0.720733811642903,0.0230227232958956,0.00713341719361811
"Image Accuracy","TICue_vs_SoundOnly","frontal_central_so_spindle",3312,28,FALSE,-0.03196835658317,0.505218025133416,0.621806800164204,2.37322046574798e-05,0.000268587354702174,0.0883593521511669,0.922,0.98,0.65034965034965,0.800430338891877,0.0233209164410462,0.000327610031586676
"Image Accuracy","TICue_vs_SoundOnly","right_temporal_so_spindle",3312,28,FALSE,0.0726638617798457,0.100770740813124,0.313178241846013,0.00011753590750255,0.000275271385313056,0.426981930464296,0.662,0.98,0.168831168831169,0.45021645021645,0.0237596520769736,0.00242104364919414
"Image Accuracy","TICue_vs_SoundOnly","posterior_sigma_burst_amp",3312,28,FALSE,0.12698597742504,0.00239929414034845,0.0383887062455752,0.000298660266677297,0.000631892351036067,0.472644218888875,0.612,0.98,0.10989010989011,0.409190809190809,0.0225276005276151,0.0100644044223474
"Image Accuracy","TICue_vs_SoundOnly","left_temporal_delta_spindle",3312,28,FALSE,0.0612281854301021,0.161140747589162,0.322281495178324,-1.14527262873796e-06,0.000201213233767259,-0.0056918355085068,0.96,0.98,0.473526473526474,0.720733811642903,0.0232494220439395,-8.89306130974861e-05
"Image Accuracy","TICue_vs_SoundOnly","right_temporal_delta_spindle",3312,28,FALSE,0.03313666034596,0.436736599973313,0.582315466631085,-6.37320849084344e-05,0.000173826252061308,-0.366642461381243,0.722,0.98,0.828171828171828,0.883383283383283,0.0231394330509997,-0.000981710346626164
